image,class_id,class_name,confidence,x0,y0,x1,y1,width,height
P0003_resized.png,10,small-vehicle,0.6422,849,373,876,410,26,37
P0003_resized.png,9,large-vehicle,0.6276,312,231,354,326,41,94
P0003_resized.png,10,small-vehicle,0.6268,970,556,1002,595,31,38
P0003_resized.png,10,small-vehicle,0.6186,882,450,911,488,28,38
P0003_resized.png,9,large-vehicle,0.6141,517,188,558,289,40,101
P0003_resized.png,9,large-vehicle,0.5865,567,183,610,276,42,93
P0003_resized.png,9,large-vehicle,0.5839,187,403,282,468,94,65
P0003_resized.png,10,small-vehicle,0.5716,926,553,956,591,30,37
P0003_resized.png,9,large-vehicle,0.5648,425,206,464,304,39,98
P0003_resized.png,9,large-vehicle,0.56,286,239,322,321,36,82
P0003_resized.png,10,small-vehicle,0.5543,962,849,986,881,24,31
P0003_resized.png,9,large-vehicle,0.5461,682,463,774,513,92,49
P0003_resized.png,9,large-vehicle,0.5277,469,203,507,294,38,90
P0003_resized.png,10,small-vehicle,0.5114,968,867,998,904,30,36
P0003_resized.png,9,large-vehicle,0.5093,494,200,531,294,36,93
P0003_resized.png,9,large-vehicle,0.5089,257,238,293,318,36,80
P0003_resized.png,9,large-vehicle,0.4925,337,223,376,317,39,93
P0003_resized.png,9,large-vehicle,0.4884,470,516,562,542,92,26
P0003_resized.png,9,large-vehicle,0.4639,175,339,233,382,58,43
P0003_resized.png,9,large-vehicle,0.4531,168,250,227,293,58,43
P0003_resized.png,9,large-vehicle,0.4154,166,306,227,347,60,41
P0003_resized.png,9,large-vehicle,0.4141,722,708,752,802,29,94
P0003_resized.png,10,small-vehicle,0.4135,5,568,39,586,33,17
P0003_resized.png,9,large-vehicle,0.4046,512,440,572,466,60,25
P0003_resized.png,9,large-vehicle,0.401,180,371,241,412,61,41
P0003_resized.png,9,large-vehicle,0.3974,502,467,560,491,58,23
P0003_resized.png,9,large-vehicle,0.3938,432,439,490,463,57,23
P0003_resized.png,9,large-vehicle,0.378,207,502,305,563,98,60
P0003_resized.png,10,small-vehicle,0.378,10,702,44,719,34,16
P0003_resized.png,9,large-vehicle,0.3713,201,521,308,592,107,70
P0003_resized.png,9,large-vehicle,0.3677,423,411,479,433,55,22
P0003_resized.png,9,large-vehicle,0.3559,236,690,293,732,57,41
P0003_resized.png,9,large-vehicle,0.3555,673,726,700,808,27,81
P0003_resized.png,9,large-vehicle,0.3537,527,493,586,515,58,21
P0003_resized.png,9,large-vehicle,0.3529,221,584,287,633,65,48
P0003_resized.png,9,large-vehicle,0.3465,445,465,499,491,53,26
P0003_resized.png,9,large-vehicle,0.3352,336,159,390,194,53,34
P0003_resized.png,9,large-vehicle,0.3261,701,738,727,798,25,60
P0003_resized.png,9,large-vehicle,0.317,640,91,671,149,31,57
P0003_resized.png,9,large-vehicle,0.3037,564,833,621,857,56,24
P0003_resized.png,9,large-vehicle,0.2979,140,144,186,243,45,98
P0003_resized.png,9,large-vehicle,0.2874,737,519,795,561,57,41
P0003_resized.png,9,large-vehicle,0.2814,125,0,164,77,38,77
P0003_resized.png,10,small-vehicle,0.2814,851,136,879,169,28,32
P0003_resized.png,10,small-vehicle,0.2733,968,629,1005,675,37,45
P0003_resized.png,9,large-vehicle,0.266,0,813,38,831,37,18
P0003_resized.png,9,large-vehicle,0.2568,426,16,461,68,34,52
P0003_resized.png,9,large-vehicle,0.2561,431,141,463,197,32,55
P0003_resized.png,9,large-vehicle,0.2525,598,101,624,159,26,57
P0003_resized.png,9,large-vehicle,0.251,236,659,287,698,51,38
P0003_resized.png,10,small-vehicle,0.2505,754,548,799,581,44,33
P0004_resized.png,9,large-vehicle,0.7115,116,404,195,424,78,19
P0004_resized.png,9,large-vehicle,0.67,92,319,183,347,91,27
P0004_resized.png,9,large-vehicle,0.6641,83,202,160,229,76,27
P0004_resized.png,9,large-vehicle,0.6622,336,863,418,880,81,17
P0004_resized.png,9,large-vehicle,0.6605,107,284,185,309,77,25
P0004_resized.png,10,small-vehicle,0.6508,75,600,87,625,12,24
P0004_resized.png,9,large-vehicle,0.6317,106,804,197,824,91,20
P0004_resized.png,9,large-vehicle,0.6126,110,514,194,531,84,16
P0004_resized.png,10,small-vehicle,0.6021,56,599,71,628,15,28
P0004_resized.png,10,small-vehicle,0.5922,511,166,525,193,13,26
P0004_resized.png,10,small-vehicle,0.5883,548,51,561,77,12,25
P0004_resized.png,10,small-vehicle,0.5828,545,149,557,173,11,24
P0004_resized.png,9,large-vehicle,0.5774,98,235,169,259,71,24
P0004_resized.png,9,large-vehicle,0.576,363,401,436,416,72,15
P0004_resized.png,9,large-vehicle,0.5731,355,365,429,383,74,17
P0004_resized.png,9,large-vehicle,0.5699,356,622,424,642,67,20
P0004_resized.png,9,large-vehicle,0.5654,353,69,409,133,56,64
P0004_resized.png,9,large-vehicle,0.5638,350,332,442,350,91,17
P0004_resized.png,9,large-vehicle,0.5631,105,483,191,498,85,14
P0004_resized.png,9,large-vehicle,0.5616,101,265,175,288,73,23
P0004_resized.png,9,large-vehicle,0.547,102,371,191,397,89,26
P0004_resized.png,9,large-vehicle,0.5433,101,249,177,278,76,28
P0004_resized.png,9,large-vehicle,0.5382,104,356,186,388,82,32
P0004_resized.png,9,large-vehicle,0.5364,299,805,387,826,88,21
P0004_resized.png,9,large-vehicle,0.5348,106,666,200,686,93,19
P0004_resized.png,9,large-vehicle,0.5325,112,545,196,562,84,17
P0004_resized.png,9,large-vehicle,0.5324,219,55,244,125,24,70
P0004_resized.png,9,large-vehicle,0.5305,361,196,435,217,74,20
P0004_resized.png,9,large-vehicle,0.5129,357,129,438,156,80,26
P0004_resized.png,9,large-vehicle,0.5097,72,169,154,197,81,28
P0004_resized.png,9,large-vehicle,0.5084,331,60,348,128,16,68
P0004_resized.png,9,large-vehicle,0.5072,106,750,201,771,94,21
P0004_resized.png,9,large-vehicle,0.496,326,884,428,902,102,18
P0004_resized.png,9,large-vehicle,0.4946,335,736,426,752,91,15
P0004_resized.png,9,large-vehicle,0.4935,355,221,435,244,80,22
P0004_resized.png,9,large-vehicle,0.4903,355,318,435,336,79,18
P0004_resized.png,9,large-vehicle,0.4884,106,342,183,376,76,33
P0004_resized.png,9,large-vehicle,0.4868,78,160,147,183,69,22
P0004_resized.png,9,large-vehicle,0.4859,269,60,287,130,18,69
P0004_resized.png,9,large-vehicle,0.4855,108,763,202,785,94,21
P0004_resized.png,9,large-vehicle,0.4852,109,561,196,578,86,17
P0004_resized.png,9,large-vehicle,0.4812,354,281,448,305,94,23
P0004_resized.png,10,small-vehicle,0.4803,38,656,52,684,14,27
P0004_resized.png,9,large-vehicle,0.4719,115,457,201,475,85,17
P0004_resized.png,9,large-vehicle,0.4683,340,824,438,844,98,20
P0004_resized.png,9,large-vehicle,0.4678,101,330,184,362,83,32
P0004_resized.png,10,small-vehicle,0.4637,507,384,519,411,12,27
P0004_resized.png,9,large-vehicle,0.4626,113,431,192,453,79,22
P0004_resized.png,10,small-vehicle,0.4614,490,876,504,904,14,27
P0004_resized.png,9,large-vehicle,0.4601,334,755,425,772,91,17
P0004_resized.png,9,large-vehicle,0.4597,105,732,198,752,93,20
P0004_resized.png,9,large-vehicle,0.4575,101,700,196,721,94,20
P0004_resized.png,9,large-vehicle,0.4569,162,59,190,130,27,70
P0004_resized.png,9,large-vehicle,0.4555,362,460,433,477,70,17
P0004_resized.png,10,small-vehicle,0.4517,490,919,502,945,12,25
P0004_resized.png,9,large-vehicle,0.449,101,719,197,741,95,21
P0004_resized.png,9,large-vehicle,0.4389,355,247,432,265,77,18
P0004_resized.png,9,large-vehicle,0.4361,77,186,158,215,80,28
P0004_resized.png,9,large-vehicle,0.4256,88,212,167,240,78,27
P0004_resized.png,10,small-vehicle,0.4251,68,687,90,708,22,21
P0004_resized.png,9,large-vehicle,0.4236,100,292,182,319,82,26
P0004_resized.png,9,large-vehicle,0.4219,105,658,199,679,94,20
P0004_resized.png,9,large-vehicle,0.4192,92,223,166,251,73,27
P0004_resized.png,9,large-vehicle,0.414,250,407,272,479,22,72
P0004_resized.png,10,small-vehicle,0.4136,354,12,383,28,28,15
P0004_resized.png,9,large-vehicle,0.4119,358,293,442,312,83,18
P0004_resized.png,9,large-vehicle,0.4078,354,148,440,175,86,26
P0004_resized.png,9,large-vehicle,0.4025,347,641,440,662,93,21
P0004_resized.png,10,small-vehicle,0.4018,494,780,506,806,11,25
P0004_resized.png,9,large-vehicle,0.3979,106,597,192,614,85,16
P0004_resized.png,9,large-vehicle,0.3955,104,636,195,656,91,19
P0004_resized.png,10,small-vehicle,0.3955,504,934,519,960,14,26
P0004_resized.png,9,large-vehicle,0.3873,337,846,436,864,98,18
P0004_resized.png,9,large-vehicle,0.386,115,440,197,461,82,20
P0004_resized.png,10,small-vehicle,0.3821,562,175,572,199,10,24
P0004_resized.png,9,large-vehicle,0.377,352,215,431,233,78,17
P0004_resized.png,10,small-vehicle,0.3768,471,914,485,941,13,26
P0004_resized.png,10,small-vehicle,0.3759,56,161,69,186,12,25
P0004_resized.png,10,small-vehicle,0.3746,317,649,348,666,31,17
